"çïïîêÏëÊÇRÇoÅ^ÇrÇYÇQçÜã@  ÇRë‰ìØéû"
"ãLò^í∑","éûä‘é≤","ƒÿ∂ﬁì˙ït","ƒÿ∂ﬁéûçè"
"1000DIV","5s (10ms)","12-09-05","11:45:22"

"¡¨»Ÿ","±›Ãﬂ","ìdà≥é≤","∫“›ƒ","Ωπ∞ÿ›∏ﬁ","ïœä∑î‰","µÃæØƒ","Ã®Ÿ¿"
"CH1","8936 analog","200mV","ìdó¨","OFF","-","-","500Hz"
"CH2","8936 analog","200mV","ìdà≥","OFF","-","-","500Hz"
"CH3","8936 analog","200mV","ÇfÇu","OFF","-","-","500Hz"
"CH4","8936 analog","200mV","êßà≥ã@","OFF","-","-","500Hz"
"CH5","8936 analog","500mV","âÒì]ë¨ìx","OFF","-","-","5Hz"
"CH6","8936 analog","500mV","","OFF","-","-","5Hz"

"éûä‘[s]","CH1(Max)[V]","CH1(Min)[V]","CH2(Max)[V]","CH2(Min)[V]","CH3(Max)[V]","CH3(Min)[V]","CH4(Max)[V]","CH4(Min)[V]","CH5(Max)[V]","CH5(Min)[V]","CH6(Max)[V]","CH6(Min)[V]"
0.0000000e+000,-1.50000e-002,-1.50000e-002,+4.50000e-002,+4.25000e-002,+2.25000e-002,+2.25000e-002,-2.50000e-003,-7.50000e-003,+9.12500e-001,+9.06250e-001,+1.25000e-002,+6.25000e-003
5.0000000e-002,-1.25000e-002,-1.50000e-002,+4.50000e-002,+4.25000e-002,+2.25000e-002,+2.25000e-002,-2.50000e-003,-5.00000e-003,+9.12500e-001,+9.06250e-001,+1.87500e-002,+6.25000e-003
1.0000000e-001,-1.25000e-002,-1.50000e-002,+4.75000e-002,+4.25000e-002,+2.50000e-002,+2.25000e-002,-5.00000e-003,-7.50000e-003,+9.12500e-001,+9.06250e-001,+1.87500e-002,+6.25000e-003
1.5000000e-001,-1.50000e-002,-1.75000e-002,+4.50000e-002,+4.25000e-002,+2.50000e-002,+2.25000e-002,-5.00000e-003,-7.50000e-003,+9.12500e-001,+9.06250e-001,+1.25000e-002,+6.25000e-003
2.0000000e-001,-1.50000e-002,-1.75000e-002,+4.75000e-002,+4.25000e-002,+2.50000e-002,+2.00000e-002,-5.00000e-003,-7.50000e-003,+9.18750e-001,+9.06250e-001,+1.25000e-002,+6.25000e-003
2.5000000e-001,-1.50000e-002,-1.75000e-002,+4.75000e-002,+4.50000e-002,+2.50000e-002,+1.75000e-002,-5.00000e-003,-5.00000e-003,+9.12500e-001,+9.06250e-001,+1.87500e-002,+0.00000e+000
3.0000000e-001,-1.50000e-002,-1.75000e-002,+4.75000e-002,+4.50000e-002,+2.50000e-002,+2.25000e-002,-5.00000e-003,-5.00000e-003,+9.12500e-001,+9.12500e-001,+1.25000e-002,+6.25000e-003
3.5000000e-001,-1.50000e-002,-2.00000e-002,+4.75000e-002,+4.50000e-002,+2.50000e-002,+2.25000e-002,-5.00000e-003,-7.50000e-003,+9.12500e-001,+9.12500e-001,+1.25000e-002,+6.25000e-003
4.0000000e-001,-1.50000e-002,-1.75000e-002,+5.00000e-002,+4.50000e-002,+2.50000e-002,+2.25000e-002,-5.00000e-003,-7.50000e-003,+9.12500e-001,+9.06250e-001,+1.87500e-002,+6.25000e-003
4.5000000e-001,-1.50000e-002,-2.00000e-002,+4.75000e-002,+4.50000e-002,+2.25000e-002,+2.00000e-002,-5.00000e-003,-1.00000e-002,+9.12500e-001,+9.12500e-001,+1.87500e-002,+6.25000e-003
